id,title,text,label
14,EXPOSED: Bill Gates Owns the Patent on the Coronavirus,Documents filed with the World Intellectual Property Organization clearly show that the Bill & Melinda Gates Foundation holds the original patent for the coronavirus. This confirms that the pandemic was deliberately created and released to enable global vaccine mandates and digital ID systems.,FAKE
15,NASA Plans Mars Mission for 2035,NASA has officially confirmed plans for a crewed Mars mission targeting 2035. The agency is developing new life-support systems and propulsion technologies to support a six-month journey and a potential surface stay of up to 18 months. International partnerships with ESA and JAXA are also being explored.,REAL
16,Study Shows Mediterranean Diet Reduces Heart Disease Risk,"A landmark study published in The Lancet confirms that adherence to a Mediterranean diet significantly reduces the risk of heart disease and stroke. The study followed 120,000 participants over 10 years and found a 25% lower incidence of cardiovascular events among those who followed the diet closely.",REAL
17,Ocean Cleanup Initiative Removes Thousands of Tons of Plastic,"An international ocean cleanup project has successfully removed over 100,000 tons of plastic waste from the Pacific Ocean over the past three years. The initiative uses a combination of autonomous vessels and barrier systems to collect and recycle ocean debris.",REAL
18,World Health Organization Reports Decline in Malaria Cases,"The World Health Organization has released its annual malaria report, showing a 12% decline in cases globally compared to the previous year. Sub-Saharan Africa saw the most significant improvements, attributed to expanded distribution of insecticide-treated bed nets and antimalarial medications.",REAL
19,Drought Relief Program Aids Farmers in Affected Regions,"The agricultural ministry has launched a $2 billion drought relief program for farmers in regions experiencing below-average rainfall for the third consecutive year. The program includes subsidized irrigation equipment, crop insurance, and low-interest loans to help farmers weather the extended dry period.",REAL
20,New Law Strengthens Data Privacy Rights for Citizens,"Parliament has passed landmark data privacy legislation granting citizens the right to access, correct, and delete personal data held by corporations. The law imposes strict penalties on companies that misuse personal information and requires transparent data processing practices.",REAL
21,"BREAKING: Aliens Land in Texas, Government Covers It Up",Hundreds of witnesses reported seeing a massive UFO land near a small Texas town last night. Local officials quickly sealed off the area and military vehicles arrived within minutes. Eyewitnesses say men in black suits collected alien beings from the craft. The mainstream media is completely silent — ask yourself why.,FAKE
22,SHOCKING TRUTH: The Earth Is Flat and NASA Has Been Lying For Decades,A group of brave independent researchers has released definitive proof that the Earth is a flat disc surrounded by an ice wall. NASA's satellite images are computer-generated fakes and all astronauts are paid actors. The moon landing was filmed in a studio in Arizona. Wake up before they delete this!,FAKE
23,Electric Vehicle Sales Reach Record High in 2024,"Global electric vehicle sales reached a record 14 million units in 2024, according to the International Energy Agency. China led with over 8 million units sold, followed by Europe and North America. The growth is attributed to falling battery costs and expanding charging infrastructure.",REAL
24,Scientists Discover New Species in Amazon Rainforest,"Researchers from the University of São Paulo have identified a new species of tree frog in the Amazon rainforest. The discovery adds to the known biodiversity of the region and highlights the importance of conservation efforts. The frog, named Hypsiboas novus, features distinctive blue stripes and was found near a remote river tributary.",REAL
25,New Trade Agreement Boosts Exports for Developing Nations,"A multilateral trade agreement signed by 40 countries is expected to increase exports from developing nations by an estimated $200 billion annually. The deal reduces tariffs on agricultural goods and textiles, sectors where emerging economies have a competitive advantage.",REAL
26,"REVEALED: Hospitals Are Paid $39,000 to List Deaths as COVID-19","According to a whistleblower doctor, hospitals receive $39,000 from the federal government for every patient death they list as COVID-19, incentivizing them to falsify death certificates. This is why COVID death numbers are artificially inflated to create panic and justify lockdowns.",FAKE
27,New Education Policy Improves Literacy Rates in Rural Areas,A new government education policy focusing on rural schools has led to a measurable improvement in literacy rates. Data from the National Education Board shows a 15% increase in reading proficiency among students in underserved regions over the past two years.,REAL
28,The COVID Vaccine Contains Graphene Oxide That Tracks You Via Bluetooth,Research by independent scientists confirms that all COVID-19 vaccines contain graphene oxide nanoparticles that act as Bluetooth transmitters inside the body. People who have been vaccinated have been recorded emitting a unique MAC address detectable by nearby phones. The global elite are using this to monitor the population.,FAKE
29,SHOCKING TRUTH: The Earth Is Flat and NASA Has Been Lying For Decades,A group of brave independent researchers has released definitive proof that the Earth is a flat disc surrounded by an ice wall. NASA's satellite images are computer-generated fakes and all astronauts are paid actors. The moon landing was filmed in a studio in Arizona. Wake up before they delete this!,FAKE
30,CELEBRITY BOMBSHELL: Famous Actor Admits Illuminati Controls Hollywood,"In a shocking off-camera confession, a major Hollywood celebrity admitted that the Illuminati controls every major studio, talent agency, and awards show. Artists are recruited in their twenties and forced to participate in satanic rituals in exchange for fame. Several have died trying to expose the truth.",FAKE
31,Stock Markets Rise Amid Positive Economic Data,"Global stock markets rose on Tuesday following the release of better-than-expected employment data from the Labor Department. The S&P 500 gained 1.4%, reaching a new high, while European and Asian markets also posted gains. Economists attributed the rally to strong consumer spending and manufacturing output.",REAL
32,BREAKING: Famous Politician Caught Running Underground Bunker for Elites,"A construction contractor has come forward with photos allegedly showing a politician's private property contains a massive underground bunker stocked with gold, weapons, and luxury goods — intended only for the global elite when the coming economic collapse occurs. The mainstream media refuses to cover this story.",FAKE
33,ALERT: Phones Are Recording You and Sending Data to the Deep State,"A cybersecurity expert has confirmed that all smartphones, regardless of brand, contain hidden chips that constantly record audio and video and transmit this data to a shadow government intelligence operation. Turning off your phone does not stop the recording. Use a Faraday bag immediately.",FAKE
34,Scientists Develop Biodegradable Plastic Alternative,"Researchers at MIT have developed a new plant-based material that mimics the properties of conventional plastic but degrades naturally within six months. The material, made from cellulose and natural resins, could replace single-use plastics in packaging and consumer goods.",REAL
35,EXPOSED: WiFi Signals Are Mutating Human DNA Over Time,A secret report from the European Research Council confirms that prolonged exposure to household WiFi signals causes genetic mutations that are passed on to offspring. The study was suppressed after pressure from tech industry lobbyists. Turn off your router at night and protect your family.,FAKE
36,Scientists Discover New Species in Amazon Rainforest,"Researchers from the University of São Paulo have identified a new species of tree frog in the Amazon rainforest. The discovery adds to the known biodiversity of the region and highlights the importance of conservation efforts. The frog, named Hypsiboas novus, features distinctive blue stripes and was found near a remote river tributary.",REAL
37,Global Hunger Index Shows Improvement in Food Security,"The latest Global Hunger Index indicates a 10% improvement in food security worldwide compared to five years ago. Increased agricultural productivity, improved logistics networks, and targeted food aid programs are credited with reducing chronic undernourishment in vulnerable regions.",REAL
38,ALERT: New Executive Order Bans All Cash Transactions Nationwide,"An executive order quietly signed late Friday night bans all cash transactions above $20 starting next month, forcing all Americans into a digital payment surveillance system. Your purchases will be monitored and accounts frozen if you are deemed a threat. Withdraw your cash now before it's too late.",FAKE
39,Child Vaccination Campaign Reaches 95% Coverage,"A national vaccination campaign targeting children under the age of five has achieved 95% coverage across all districts, according to the Ministry of Health. The campaign included vaccines for measles, polio, and hepatitis B, and is expected to prevent thousands of deaths annually.",REAL
40,City Implements Zero-Emission Bus Fleet,"The city of Oslo has completed its transition to a fully zero-emission public bus fleet, replacing all diesel-powered buses with electric models. The initiative is expected to reduce the city's transport-related carbon emissions by 30% annually and improve air quality for residents.",REAL
41,Community Solar Program Brings Electricity to Remote Villages,"A community solar initiative has successfully connected 500 remote villages to electricity for the first time. The program uses small-scale solar panels and battery storage systems to provide reliable power for homes, schools, and health clinics in off-grid areas.",REAL
42,SHOCKING: Major Airline Caught Spraying Passengers With Sedatives,A cabin crew whistleblower has revealed that a major international airline has been secretly dispensing a mild sedative through in-flight air systems to keep passengers calm and prevent unrest. The chemical is undetectable and passengers have no idea they are being drugged during flights.,FAKE
43,CONFIRMED: Election Was Rigged Using Software That Flips Votes,Sworn testimony from three election officials confirms that vote-counting software was remotely accessed on election night and programmed to flip votes from one candidate to another. Hundreds of thousands of votes were altered. The courts refuse to hear the evidence because they are all compromised.,FAKE
44,Drought Relief Program Aids Farmers in Affected Regions,"The agricultural ministry has launched a $2 billion drought relief program for farmers in regions experiencing below-average rainfall for the third consecutive year. The program includes subsidized irrigation equipment, crop insurance, and low-interest loans to help farmers weather the extended dry period.",REAL
45,CELEBRITY BOMBSHELL: Famous Actor Admits Illuminati Controls Hollywood,"In a shocking off-camera confession, a major Hollywood celebrity admitted that the Illuminati controls every major studio, talent agency, and awards show. Artists are recruited in their twenties and forced to participate in satanic rituals in exchange for fame. Several have died trying to expose the truth.",FAKE
46,BREAKING: City Water Fluoride Found to Cause Brain Damage in Children,"Classified government studies leaked online show that fluoride added to city water supplies causes severe brain damage in children under age 12, lowering IQ by up to 25 points. The information was classified for 30 years. Stop using tap water for your children — spread the word before this is taken down.",FAKE
47,Tech Company Launches Open-Source AI Model,"A leading technology company has released a large-scale artificial intelligence model under an open-source license, making it freely available to researchers and developers worldwide. The model, trained on diverse multilingual data, achieves state-of-the-art performance on several benchmark tasks.",REAL
48,URGENT: 5G Towers Are Causing Bird Deaths and Human Illness,"New evidence shows that 5G cell towers are responsible for mass bird die-offs across the country and are causing symptoms like headaches, dizziness, and memory loss in nearby residents. A whistleblower engineer says the radiation levels far exceed safe limits. Big Telecom is bribing regulators to keep this silent.",FAKE
49,Government Announces Infrastructure Investment Plan,"The federal government has announced a $500 billion infrastructure investment plan aimed at modernizing roads, bridges, and public transit systems. The plan is expected to create over two million jobs over the next decade and will be funded through a combination of public bonds and private partnerships.",REAL
50,ALERT: Google Is Censoring Conservative Search Results,An internal Google document leaked by a brave engineer confirms that the company deliberately suppresses conservative websites and news sources in its search algorithm. Searches for certain political terms return only liberal news outlets. This is coordinated election interference by Silicon Valley elites.,FAKE
51,New Education Policy Improves Literacy Rates in Rural Areas,A new government education policy focusing on rural schools has led to a measurable improvement in literacy rates. Data from the National Education Board shows a 15% increase in reading proficiency among students in underserved regions over the past two years.,REAL
52,EXPOSED: Global Elite Planning Population Reduction by 90%,"A document leaked from a secret World Economic Forum meeting outlines a plan to reduce the global population from 8 billion to under 800 million within 20 years through engineered pandemics, food shortages, and forced sterilization programs. Billionaires and world leaders are all part of this conspiracy.",FAKE
53,Healthcare App Improves Patient Outcomes in Rural Clinics,"A mobile healthcare application developed by a nonprofit organization has demonstrated improved patient outcomes in rural clinics across three countries. The app enables remote consultations with specialists and tracks medication adherence, reducing hospital readmissions by 25%.",REAL
54,New Cancer Treatment Shows Promising Results in Clinical Trials,A clinical trial conducted at Johns Hopkins University has shown that a new immunotherapy treatment reduces tumor size in 70% of patients with stage 3 lung cancer. The treatment uses engineered T-cells to target cancer cells while minimizing side effects. Researchers plan to expand trials to additional cancer types.,REAL
55,URGENT: 5G Towers Are Causing Bird Deaths and Human Illness,"New evidence shows that 5G cell towers are responsible for mass bird die-offs across the country and are causing symptoms like headaches, dizziness, and memory loss in nearby residents. A whistleblower engineer says the radiation levels far exceed safe limits. Big Telecom is bribing regulators to keep this silent.",FAKE
56,City Implements Zero-Emission Bus Fleet,"The city of Oslo has completed its transition to a fully zero-emission public bus fleet, replacing all diesel-powered buses with electric models. The initiative is expected to reduce the city's transport-related carbon emissions by 30% annually and improve air quality for residents.",REAL
57,Study Shows Mediterranean Diet Reduces Heart Disease Risk,"A landmark study published in The Lancet confirms that adherence to a Mediterranean diet significantly reduces the risk of heart disease and stroke. The study followed 120,000 participants over 10 years and found a 25% lower incidence of cardiovascular events among those who followed the diet closely.",REAL
58,BREAKING: Local School Caught Teaching Children to Worship Satan,Concerned parents discovered that a local elementary school has been quietly incorporating satanic rituals into after-school programs. Children are reportedly being asked to bow to an altar and recite anti-Christian chants. The school board is covering it up and the principal is reportedly a member of a secret cult.,FAKE
59,Government Announces Infrastructure Investment Plan,"The federal government has announced a $500 billion infrastructure investment plan aimed at modernizing roads, bridges, and public transit systems. The plan is expected to create over two million jobs over the next decade and will be funded through a combination of public bonds and private partnerships.",REAL
60,"MUST READ: Sunscreen Is Actually Causing Cancer, Not Preventing It",A bombshell investigative report reveals that most commercial sunscreens contain chemicals that cause cancer when activated by sunlight. The cosmetics industry has known for 20 years. The FDA is fully aware but has been bribed to approve these products. Stop using sunscreen on your children immediately!,FAKE
61,SHOCKING TRUTH: The Earth Is Flat and NASA Has Been Lying For Decades,A group of brave independent researchers has released definitive proof that the Earth is a flat disc surrounded by an ice wall. NASA's satellite images are computer-generated fakes and all astronauts are paid actors. The moon landing was filmed in a studio in Arizona. Wake up before they delete this!,FAKE
62,New Smart Grid Technology Reduces Energy Waste by 20%,A pilot program using advanced smart grid technology in three major cities has demonstrated a 20% reduction in energy waste. The system uses real-time data and AI algorithms to optimize electricity distribution and reduce peak-hour demand pressure on the grid.,REAL
63,City Implements Zero-Emission Bus Fleet,"The city of Oslo has completed its transition to a fully zero-emission public bus fleet, replacing all diesel-powered buses with electric models. The initiative is expected to reduce the city's transport-related carbon emissions by 30% annually and improve air quality for residents.",REAL
64,BREAKING: Famous Politician Caught Running Underground Bunker for Elites,"A construction contractor has come forward with photos allegedly showing a politician's private property contains a massive underground bunker stocked with gold, weapons, and luxury goods — intended only for the global elite when the coming economic collapse occurs. The mainstream media refuses to cover this story.",FAKE
65,World Health Organization Reports Decline in Malaria Cases,"The World Health Organization has released its annual malaria report, showing a 12% decline in cases globally compared to the previous year. Sub-Saharan Africa saw the most significant improvements, attributed to expanded distribution of insecticide-treated bed nets and antimalarial medications.",REAL
66,Scientists Discover New Species in Amazon Rainforest,"Researchers from the University of São Paulo have identified a new species of tree frog in the Amazon rainforest. The discovery adds to the known biodiversity of the region and highlights the importance of conservation efforts. The frog, named Hypsiboas novus, features distinctive blue stripes and was found near a remote river tributary.",REAL
67,Child Vaccination Campaign Reaches 95% Coverage,"A national vaccination campaign targeting children under the age of five has achieved 95% coverage across all districts, according to the Ministry of Health. The campaign included vaccines for measles, polio, and hepatitis B, and is expected to prevent thousands of deaths annually.",REAL
68,BREAKING: Local School Caught Teaching Children to Worship Satan,Concerned parents discovered that a local elementary school has been quietly incorporating satanic rituals into after-school programs. Children are reportedly being asked to bow to an altar and recite anti-Christian chants. The school board is covering it up and the principal is reportedly a member of a secret cult.,FAKE
69,"SECRET: Drinking Bleach Cures All Viruses, Doctors Confirmed Silently","According to a group of underground health researchers who have been banned from social media, drinking a diluted bleach solution neutralizes all known viruses including COVID-19 and influenza. Mainstream doctors are fully aware but are forbidden from sharing this by the pharmaceutical cartel. Do your own research!",FAKE
70,New Study Links Screen Time to Sleep Disruption in Teenagers,"A peer-reviewed study involving 10,000 adolescents found that more than two hours of screen time before bedtime significantly disrupts sleep patterns. Researchers recommend that teenagers avoid electronic devices at least one hour before sleep to improve rest quality and academic performance.",REAL
71,URGENT: 5G Towers Are Causing Bird Deaths and Human Illness,"New evidence shows that 5G cell towers are responsible for mass bird die-offs across the country and are causing symptoms like headaches, dizziness, and memory loss in nearby residents. A whistleblower engineer says the radiation levels far exceed safe limits. Big Telecom is bribing regulators to keep this silent.",FAKE
72,New Study Links Screen Time to Sleep Disruption in Teenagers,"A peer-reviewed study involving 10,000 adolescents found that more than two hours of screen time before bedtime significantly disrupts sleep patterns. Researchers recommend that teenagers avoid electronic devices at least one hour before sleep to improve rest quality and academic performance.",REAL
73,CELEBRITY BOMBSHELL: Famous Actor Admits Illuminati Controls Hollywood,"In a shocking off-camera confession, a major Hollywood celebrity admitted that the Illuminati controls every major studio, talent agency, and awards show. Artists are recruited in their twenties and forced to participate in satanic rituals in exchange for fame. Several have died trying to expose the truth.",FAKE
74,Study Shows Mediterranean Diet Reduces Heart Disease Risk,"A landmark study published in The Lancet confirms that adherence to a Mediterranean diet significantly reduces the risk of heart disease and stroke. The study followed 120,000 participants over 10 years and found a 25% lower incidence of cardiovascular events among those who followed the diet closely.",REAL
75,URGENT: New World Order Plans to Launch Martial Law Next Month,"Intelligence sources reveal that the United Nations and major world governments have finalized plans for a global martial law declaration next month, to be triggered by a staged pandemic or terrorist attack. Freedom of movement and speech will be suspended. Prepare now before it is too late.",FAKE
76,SHOCKING: Major Airline Caught Spraying Passengers With Sedatives,A cabin crew whistleblower has revealed that a major international airline has been secretly dispensing a mild sedative through in-flight air systems to keep passengers calm and prevent unrest. The chemical is undetectable and passengers have no idea they are being drugged during flights.,FAKE
77,ALERT: Google Is Censoring Conservative Search Results,An internal Google document leaked by a brave engineer confirms that the company deliberately suppresses conservative websites and news sources in its search algorithm. Searches for certain political terms return only liberal news outlets. This is coordinated election interference by Silicon Valley elites.,FAKE
78,URGENT: New World Order Plans to Launch Martial Law Next Month,"Intelligence sources reveal that the United Nations and major world governments have finalized plans for a global martial law declaration next month, to be triggered by a staged pandemic or terrorist attack. Freedom of movement and speech will be suspended. Prepare now before it is too late.",FAKE
79,SHOCKING: Scientists Prove Human Beings Are Manufactured by Reptilians,New DNA analysis conducted by an underground research group has revealed that human beings were genetically engineered by an ancient reptilian alien race that still controls world governments today. World leaders are shape-shifting reptilians in human disguise. The evidence has been removed from the internet three times already.,FAKE
80,EXPOSED: Doctors Are Hiding the Cure for Cancer to Make Money,"Top oncologists around the world have been suppressing a proven cancer cure for decades, according to a whistleblower. The cure, derived from a common household ingredient, reportedly eliminates all cancer types within weeks. Big Pharma has paid billions to keep this secret hidden from the public. Share before this gets deleted!",FAKE
81,BREAKING: Famous Politician Caught Running Underground Bunker for Elites,"A construction contractor has come forward with photos allegedly showing a politician's private property contains a massive underground bunker stocked with gold, weapons, and luxury goods — intended only for the global elite when the coming economic collapse occurs. The mainstream media refuses to cover this story.",FAKE
82,Child Vaccination Campaign Reaches 95% Coverage,"A national vaccination campaign targeting children under the age of five has achieved 95% coverage across all districts, according to the Ministry of Health. The campaign included vaccines for measles, polio, and hepatitis B, and is expected to prevent thousands of deaths annually.",REAL
83,REVEALED: Chemtrails Are Dumping Toxic Chemicals to Control the Weather,A retired Air Force pilot has come forward to confirm that aircraft contrails are actually chemtrails — a secret program to spray toxic chemicals including barium and strontium to control weather patterns and population growth. Thousands of people have already been poisoned. The government refuses to comment.,FAKE
84,SHOCKING: Major Airline Caught Spraying Passengers With Sedatives,A cabin crew whistleblower has revealed that a major international airline has been secretly dispensing a mild sedative through in-flight air systems to keep passengers calm and prevent unrest. The chemical is undetectable and passengers have no idea they are being drugged during flights.,FAKE
85,ALERT: Phones Are Recording You and Sending Data to the Deep State,"A cybersecurity expert has confirmed that all smartphones, regardless of brand, contain hidden chips that constantly record audio and video and transmit this data to a shadow government intelligence operation. Turning off your phone does not stop the recording. Use a Faraday bag immediately.",FAKE
86,"MUST READ: Sunscreen Is Actually Causing Cancer, Not Preventing It",A bombshell investigative report reveals that most commercial sunscreens contain chemicals that cause cancer when activated by sunlight. The cosmetics industry has known for 20 years. The FDA is fully aware but has been bribed to approve these products. Stop using sunscreen on your children immediately!,FAKE
87,EXPOSED: Global Elite Planning Population Reduction by 90%,"A document leaked from a secret World Economic Forum meeting outlines a plan to reduce the global population from 8 billion to under 800 million within 20 years through engineered pandemics, food shortages, and forced sterilization programs. Billionaires and world leaders are all part of this conspiracy.",FAKE
88,International Court Rules on Maritime Border Dispute,"The International Court of Justice has issued a binding ruling on a longstanding maritime border dispute between two neighboring countries, awarding exclusive economic zone rights over contested waters. Both governments have agreed to abide by the decision and have pledged cooperation on joint resource development.",REAL
89,CONFIRMED: Celebrity Billionaire Arrested in Secret Global Pedo Ring,"According to our exclusive sources, a famous billionaire tech mogul was arrested last week in connection with an international child trafficking ring operating out of luxury hotels. The arrest has been completely suppressed by mainstream media. Over 200 children have reportedly been rescued so far.",FAKE
90,REVEALED: Chemtrails Are Dumping Toxic Chemicals to Control the Weather,A retired Air Force pilot has come forward to confirm that aircraft contrails are actually chemtrails — a secret program to spray toxic chemicals including barium and strontium to control weather patterns and population growth. Thousands of people have already been poisoned. The government refuses to comment.,FAKE
91,EXPOSED: Doctors Are Hiding the Cure for Cancer to Make Money,"Top oncologists around the world have been suppressing a proven cancer cure for decades, according to a whistleblower. The cure, derived from a common household ingredient, reportedly eliminates all cancer types within weeks. Big Pharma has paid billions to keep this secret hidden from the public. Share before this gets deleted!",FAKE
92,EXPOSED: Bill Gates Owns the Patent on the Coronavirus,Documents filed with the World Intellectual Property Organization clearly show that the Bill & Melinda Gates Foundation holds the original patent for the coronavirus. This confirms that the pandemic was deliberately created and released to enable global vaccine mandates and digital ID systems.,FAKE
93,NASA Plans Mars Mission for 2035,NASA has officially confirmed plans for a crewed Mars mission targeting 2035. The agency is developing new life-support systems and propulsion technologies to support a six-month journey and a potential surface stay of up to 18 months. International partnerships with ESA and JAXA are also being explored.,REAL
94,University Research Finds Link Between Exercise and Mental Health,"A longitudinal study conducted by Oxford University involving 50,000 participants found that regular aerobic exercise is associated with a 30% reduction in depression symptoms. The study recommends at least 150 minutes of moderate exercise per week for mental health benefits.",REAL
95,SHOCKING: Major Airline Caught Spraying Passengers With Sedatives,A cabin crew whistleblower has revealed that a major international airline has been secretly dispensing a mild sedative through in-flight air systems to keep passengers calm and prevent unrest. The chemical is undetectable and passengers have no idea they are being drugged during flights.,FAKE
96,"SECRET: Drinking Bleach Cures All Viruses, Doctors Confirmed Silently","According to a group of underground health researchers who have been banned from social media, drinking a diluted bleach solution neutralizes all known viruses including COVID-19 and influenza. Mainstream doctors are fully aware but are forbidden from sharing this by the pharmaceutical cartel. Do your own research!",FAKE
97,Study Shows Mediterranean Diet Reduces Heart Disease Risk,"A landmark study published in The Lancet confirms that adherence to a Mediterranean diet significantly reduces the risk of heart disease and stroke. The study followed 120,000 participants over 10 years and found a 25% lower incidence of cardiovascular events among those who followed the diet closely.",REAL
98,New Smart Grid Technology Reduces Energy Waste by 20%,A pilot program using advanced smart grid technology in three major cities has demonstrated a 20% reduction in energy waste. The system uses real-time data and AI algorithms to optimize electricity distribution and reduce peak-hour demand pressure on the grid.,REAL
99,REVEALED: Chemtrails Are Dumping Toxic Chemicals to Control the Weather,A retired Air Force pilot has come forward to confirm that aircraft contrails are actually chemtrails — a secret program to spray toxic chemicals including barium and strontium to control weather patterns and population growth. Thousands of people have already been poisoned. The government refuses to comment.,FAKE
100,ALERT: New Executive Order Bans All Cash Transactions Nationwide,"An executive order quietly signed late Friday night bans all cash transactions above $20 starting next month, forcing all Americans into a digital payment surveillance system. Your purchases will be monitored and accounts frozen if you are deemed a threat. Withdraw your cash now before it's too late.",FAKE
101,Renewable Energy Now Powers 40% of Global Electricity,"According to a report by the International Renewable Energy Agency, renewable sources now account for 40% of global electricity generation. Solar and wind energy saw the fastest growth, driven by declining costs and supportive policy frameworks in major economies.",REAL
102,New Trade Agreement Boosts Exports for Developing Nations,"A multilateral trade agreement signed by 40 countries is expected to increase exports from developing nations by an estimated $200 billion annually. The deal reduces tariffs on agricultural goods and textiles, sectors where emerging economies have a competitive advantage.",REAL
103,International Court Rules on Maritime Border Dispute,"The International Court of Justice has issued a binding ruling on a longstanding maritime border dispute between two neighboring countries, awarding exclusive economic zone rights over contested waters. Both governments have agreed to abide by the decision and have pledged cooperation on joint resource development.",REAL
104,Scientists Discover New Species in Amazon Rainforest,"Researchers from the University of São Paulo have identified a new species of tree frog in the Amazon rainforest. The discovery adds to the known biodiversity of the region and highlights the importance of conservation efforts. The frog, named Hypsiboas novus, features distinctive blue stripes and was found near a remote river tributary.",REAL
105,City Implements Zero-Emission Bus Fleet,"The city of Oslo has completed its transition to a fully zero-emission public bus fleet, replacing all diesel-powered buses with electric models. The initiative is expected to reduce the city's transport-related carbon emissions by 30% annually and improve air quality for residents.",REAL
106,BREAKING: Famous Politician Caught Running Underground Bunker for Elites,"A construction contractor has come forward with photos allegedly showing a politician's private property contains a massive underground bunker stocked with gold, weapons, and luxury goods — intended only for the global elite when the coming economic collapse occurs. The mainstream media refuses to cover this story.",FAKE
107,The COVID Vaccine Contains Graphene Oxide That Tracks You Via Bluetooth,Research by independent scientists confirms that all COVID-19 vaccines contain graphene oxide nanoparticles that act as Bluetooth transmitters inside the body. People who have been vaccinated have been recorded emitting a unique MAC address detectable by nearby phones. The global elite are using this to monitor the population.,FAKE
108,Study Shows Mediterranean Diet Reduces Heart Disease Risk,"A landmark study published in The Lancet confirms that adherence to a Mediterranean diet significantly reduces the risk of heart disease and stroke. The study followed 120,000 participants over 10 years and found a 25% lower incidence of cardiovascular events among those who followed the diet closely.",REAL
109,EXPOSED: Global Elite Planning Population Reduction by 90%,"A document leaked from a secret World Economic Forum meeting outlines a plan to reduce the global population from 8 billion to under 800 million within 20 years through engineered pandemics, food shortages, and forced sterilization programs. Billionaires and world leaders are all part of this conspiracy.",FAKE
110,Government Announces Infrastructure Investment Plan,"The federal government has announced a $500 billion infrastructure investment plan aimed at modernizing roads, bridges, and public transit systems. The plan is expected to create over two million jobs over the next decade and will be funded through a combination of public bonds and private partnerships.",REAL
111,EXPOSED: WiFi Signals Are Mutating Human DNA Over Time,A secret report from the European Research Council confirms that prolonged exposure to household WiFi signals causes genetic mutations that are passed on to offspring. The study was suppressed after pressure from tech industry lobbyists. Turn off your router at night and protect your family.,FAKE
112,EXPOSED: WiFi Signals Are Mutating Human DNA Over Time,A secret report from the European Research Council confirms that prolonged exposure to household WiFi signals causes genetic mutations that are passed on to offspring. The study was suppressed after pressure from tech industry lobbyists. Turn off your router at night and protect your family.,FAKE
